"","STUDENTID","DISTRICTID","PHOENIX","Y1SCHOOLID","Y3SCHOOLID","FAST","S13A","S13B","LUNCH_STATUS","ATTENDANCE_RATE","S2B","C3YRSTCH","P6","P5","P3A","P3B","P3C","P4A","P4B","P4C","Q11","Q10","Q8A","Q8B","Q8C","Q9A","Q9B","Q9C","R6","R5","R3A","R3B","R3C","R4A","R4B","R4C","S12A","S11","S9A","S9B","S9C","S10A","S10B","S10C","PHQ2","ATTENDANCE_PCT","FR_LUNCH"
"1700","E407088",4,"San Antonio School",407,407,"FAST Program",NA,NA,1,0.871,NA,5,NA,2,3,3,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1,"1"
"1701","S301024",3,"Phoenix School",301,NA,"FAST Program",NA,NA,1,0.972,NA,NA,6,3,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"1"
"1702","E418031",4,"San Antonio School",418,NA,"FAST Program",NA,NA,3,0.861,NA,NA,1,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1,"0"
"1703","E302085",3,"Phoenix School",302,NA,"FAST Program",NA,NA,3,0.886,NA,NA,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.6,"0"
"1704","E309050",3,"Phoenix School",309,309,"FAST Program",NA,NA,1,0.966,NA,NA,2,1,3,2,1,3,2,1,2,1,3,1,2,2,1,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.6,"1"
"1705","E309007",3,"Phoenix School",309,NA,"FAST Program",NA,NA,1,0.994,NA,NA,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.4,"1"
"1706","E407075",4,"San Antonio School",407,407,"FAST Program",NA,NA,2,0.944,NA,5,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"1"
"1707","E409001",4,"San Antonio School",409,NA,"Control School",NA,NA,2,0.949,NA,NA,2,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.9,"1"
"1708","E415077",4,"San Antonio School",415,NA,"FAST Program",NA,NA,3,0.977,NA,NA,6,2,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"0"
"1709","E425024",4,"San Antonio School",425,425,"FAST Program",NA,NA,3,0.955,NA,4,4,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"0"
